metric,value
In-sample end index,176.4676877326963
Out-of-sample end index,135.4402978086363
OOS end-2021 index,128.80144378356022
Best in-sample 12M return,0.42344489852384926
Worst in-sample 12M return,-0.2259468828413309
Best OOS 12M return,0.23450583112235557
Worst OOS 12M return,-0.014586393626665917
