sample,start_date,end_date,n_months,total_return,annualised_return,monthly_volatility,annualised_volatility,sharpe_ratio,max_drawdown,hit_rate,best_month,worst_month
In-sample,2009-03-31,2019-12-31,130,0.7504618918878905,0.053039982247577555,0.034403164661359516,0.11917605826926561,0.4450556849911864,-0.2853785461582543,0.5692307692307692,0.10506488740343567,-0.08174994686610904
Out-of-sample,2020-01-31,2023-12-31,48,0.5058084935325571,0.10775172658842247,0.03210956906940856,0.11123081007471547,0.9687219441811487,-0.13568267704671777,0.5625,0.06727929023818491,-0.051192310256474194
