Date,spot,fx_return,rate_au,rate_us,rate_au_lag,rate_us_lag,i_au_m,i_us_m,rate_diff_lag,signal,position,carry_log_diff,fx_log_component,carry_log_component,strategy_log_return,strategy_return,year,rolling_12m_return,rolling_12m_start
2009-03-31,0.6918021440505981,0.0743698753095677,3.25,0.17,3.35,0.16,0.0027916666666666667,0.00013333333333333334,3.19,1,Long AUD / Short USD,0.0026544527570870917,0.0743698753095677,0.0026544527570870917,0.0770243280666548,0.08006835204784135,2009,,
2009-04-30,0.7266914248466492,0.0492019416914966,3.06,0.04,3.25,0.17,0.0027083333333333334,0.00014166666666666668,3.08,1,Long AUD / Short USD,0.002563015774235003,0.0492019416914966,0.002563015774235003,0.051764957465731606,0.0531281835038957,2009,,
2009-05-31,0.8010253310203552,0.0973906333889513,3.0,0.14,3.06,0.04,0.00255,3.3333333333333335e-05,3.02,1,Long AUD / Short USD,0.002513421488785769,0.0973906333889513,0.002513421488785769,0.09990405487773707,0.10506488740343567,2009,,
2009-06-30,0.8061915636062622,0.0064288154217268,3.0,0.17,3.0,0.14,0.0025,0.00011666666666666668,2.86,1,Long AUD / Short USD,0.0023802203369468135,0.0064288154217268,0.0023802203369468135,0.008809035758673613,0.008847949494406704,2009,,
2009-07-31,0.8356313109397888,0.0358661139512609,3.0,0.14,3.0,0.17,0.0025,0.00014166666666666668,2.83,1,Long AUD / Short USD,0.0023552235656951314,0.0358661139512609,0.0023552235656951314,0.038221337516956035,0.03896116851612064,2009,,
2009-08-31,0.8428860306739807,0.0086442537457137,3.0,0.11,3.0,0.14,0.0025,0.00011666666666666668,2.86,1,Long AUD / Short USD,0.0023802203369468135,0.0086442537457137,0.0023802203369468135,0.011024474082660513,0.01108546753122086,2009,,
2009-09-30,0.8837825655937195,0.0473793119278128,3.0,0.06,3.0,0.11,0.0025,9.166666666666667e-05,2.89,1,Long AUD / Short USD,0.0024052177330526874,0.0473793119278128,0.0024052177330526874,0.04978452966086549,0.05104460303854008,2009,,
2009-10-31,0.9009820818901062,0.0192743046361938,3.21,0.01,3.0,0.06,0.0025,4.9999999999999996e-05,2.94,1,Long AUD / Short USD,0.002446881448545534,0.0192743046361938,0.002446881448545534,0.021721186084739337,0.021958808408031105,2009,,
2009-11-30,0.9175995588302612,0.0182757145323257,3.48,0.08,3.21,0.01,0.002675,8.333333333333334e-06,3.2,1,Long AUD / Short USD,0.0026630952565475778,0.0182757145323257,0.0026630952565475778,0.02093880978887328,0.0211595647563938,2009,,
2009-12-31,0.898311197757721,-0.0212445313720617,3.74,0.04,3.48,0.08,0.0029,6.666666666666667e-05,3.4,1,Long AUD / Short USD,0.00282913866748236,-0.0212445313720617,0.00282913866748236,-0.018415392704579342,-0.01824686544451204,2009,,
2010-01-31,0.8843296766281128,-0.0156866231805242,3.75,0.02,3.74,0.04,0.003116666666666667,3.3333333333333335e-05,3.7,1,Long AUD / Short USD,0.003078487151153744,-0.0156866231805242,0.003078487151153744,-0.012608136029370456,-0.012528986474295012,2010,,
2010-02-28,0.8958967924118042,0.0129952888240879,3.75,0.09,3.75,0.02,0.0031249999999999997,1.6666666666666667e-05,3.73,1,Long AUD / Short USD,0.0031034608084643126,0.0129952888240879,0.0031034608084643126,0.01609874963255221,0.016229032694951906,2010,0.43945984301778074,2009-03-31
2010-03-31,0.9155831933021544,0.0217360126708365,3.98,0.15,3.75,0.09,0.0031249999999999997,7.5e-05,3.66,1,Long AUD / Short USD,0.0030451301486030162,0.0217360126708365,0.0030451301486030162,0.024781142819439515,0.02509074750168394,2010,0.36618850434791117,2009-04-30
2010-04-30,0.9248127341270448,0.0100300354535227,4.22,0.14,3.98,0.15,0.003316666666666667,0.000125,3.83,1,Long AUD / Short USD,0.003186186470873526,0.0100300354535227,0.003186186470873526,0.013216221924396226,0.013303942202945063,2010,0.3145258278456875,2009-05-31
2010-05-31,0.8465966582298279,-0.0883668866287772,4.47,0.15,4.22,0.14,0.003516666666666666,0.00011666666666666668,4.08,1,Long AUD / Short USD,0.003393837791483083,-0.0883668866287772,0.003393837791483083,-0.08497304883729412,-0.0814629602909277,2010,0.09264232018774177,2009-06-30
2010-06-30,0.8413259983062744,-0.0062451641770305,4.5,0.17,4.47,0.15,0.0037249999999999996,0.000125,4.319999999999999,1,Long AUD / Short USD,0.003593087180259812,-0.0062451641770305,0.003593087180259812,-0.002652076996770688,-0.002648563347414812,2010,0.08019091314285354,2009-07-31
2010-07-31,0.9044044613838196,0.0722974567494589,4.5,0.14,4.5,0.17,0.00375,0.00014166666666666668,4.33,1,Long AUD / Short USD,0.003601329645942309,0.0722974567494589,0.003601329645942309,0.07589878639540121,0.07885337399229053,2010,0.12166618591183487,2009-08-31
2010-08-31,0.8918219804763794,-0.014010134162404,4.5,0.16,4.5,0.14,0.00375,0.00011666666666666668,4.36,1,Long AUD / Short USD,0.003626326417193991,-0.014010134162404,0.003626326417193991,-0.01038380774521001,-0.010330082133175988,2010,0.09790845357104483,2009-09-30
2010-09-30,0.9693679809570312,0.0833777539067545,4.5,0.14,4.5,0.16,0.00375,0.00013333333333333334,4.34,1,Long AUD / Short USD,0.003609661833599888,0.0833777539067545,0.003609661833599888,0.08698741574035439,0.09088295167759242,2010,0.13952310971473114,2009-10-31
2010-10-31,0.972762644290924,0.0034958171678758,4.5,0.14,4.5,0.14,0.00375,0.00011666666666666668,4.36,1,Long AUD / Short USD,0.003626326417193991,0.0034958171678758,0.003626326417193991,0.007122143585069791,0.007147566368759906,2010,0.12300800905855169,2009-11-30
2010-11-30,0.9607070684432985,-0.012470567294753,4.73,0.18,4.5,0.14,0.00375,0.00011666666666666668,4.36,1,Long AUD / Short USD,0.003626326417193991,-0.012470567294753,0.003626326417193991,-0.008844240877559008,-0.00880524562502305,2010,0.09005456749109264,2009-12-31
2010-12-31,1.0157749652862549,0.0557375697602381,4.75,0.07,4.73,0.18,0.003941666666666667,0.00015,4.550000000000001,1,Long AUD / Short USD,0.0037839299008733144,0.0557375697602381,0.0037839299008733144,0.059521499661111414,0.06132857893902144,2010,0.17840832319331223,2010-01-31
2011-01-31,0.9873617887496948,-0.0283705865256656,4.75,0.15,4.75,0.07,0.003958333333333334,5.833333333333334e-05,4.68,1,Long AUD / Short USD,0.0038921881123398397,-0.0283705865256656,0.0038921881123398397,-0.02447839841332576,-0.02418123207556977,2011,0.1645030003915735,2010-02-28
2011-02-28,1.01449716091156,0.0271118345318562,4.75,0.13,4.75,0.15,0.003958333333333334,0.000125,4.6,1,Long AUD / Short USD,0.003825527556199466,0.0271118345318562,0.003825527556199466,0.030937362088055666,0.031420895811836935,2011,0.18191144830241113,2010-03-31
2011-03-31,1.0319172143936155,0.0170253634610764,4.75,0.05,4.75,0.13,0.003958333333333334,0.00010833333333333333,4.62,1,Long AUD / Short USD,0.003842192278648899,0.0170253634610764,0.003842192278648899,0.0208675557397253,0.021086805594802138,2011,0.17729497430767927,2010-04-30
2011-04-30,1.093900442123413,0.0583312510843689,4.75,0.02,4.75,0.05,0.003958333333333334,4.1666666666666665e-05,4.7,1,Long AUD / Short USD,0.0039088539457152235,0.0583312510843689,0.0039088539457152235,0.06224010503008413,0.06421783811021853,2011,0.23644867072353004,2010-05-31
2011-05-31,1.070297122001648,-0.0218134022748109,4.75,0.04,4.75,0.02,0.003958333333333334,1.6666666666666667e-05,4.73,1,Long AUD / Short USD,0.003933853216571125,-0.0218134022748109,0.003933853216571125,-0.017879549058239776,-0.017720658295298453,2011,0.32225259714582877,2010-06-30
2011-06-30,1.0692671537399292,-0.0009627832666281,4.75,0.01,4.75,0.04,0.003958333333333334,3.3333333333333335e-05,4.71,1,Long AUD / Short USD,0.0039171869665603236,-0.0009627832666281,0.0039171869665603236,0.0029544036999322237,0.002958772251639097,2011,0.3296866006339094,2010-07-31
2011-07-31,1.100001096725464,0.0283376660531981,4.75,0.16,4.75,0.01,0.003958333333333334,8.333333333333334e-06,4.74,1,Long AUD / Short USD,0.003942186445739142,0.0283376660531981,0.003942186445739142,0.03227985249893724,0.03280649834500049,2011,0.27293383420126216,2010-08-31
2011-08-31,1.0676004886627195,-0.0298975805580554,4.75,0.01,4.75,0.16,0.003958333333333334,0.00013333333333333334,4.59,1,Long AUD / Short USD,0.0038171952991159575,-0.0298975805580554,0.0038171952991159575,-0.026080385258939444,-0.025743229421832714,2011,0.25310912666892893,2010-09-30
2011-09-30,0.9764671921730042,-0.0892277228638039,4.75,0.02,4.75,0.01,0.003958333333333334,8.333333333333334e-06,4.74,1,Long AUD / Short USD,0.003942186445739142,-0.0892277228638039,0.003942186445739142,-0.08528553641806476,-0.08174994686610904,2011,0.05480383608230088,2010-10-31
2011-10-31,1.0673953294754028,0.0890355358944381,4.75,0.02,4.75,0.02,0.003958333333333334,1.6666666666666667e-05,4.73,1,Long AUD / Short USD,0.003933853216571125,0.0890355358944381,0.003933853216571125,0.09296938911100923,0.09742814150290213,2011,0.14935631295374097,2010-11-30
2011-11-30,1.001803278923035,-0.0634197543319546,4.51,0.02,4.75,0.02,0.003958333333333334,1.6666666666666667e-05,4.73,1,Long AUD / Short USD,0.003933853216571125,-0.0634197543319546,0.003933853216571125,-0.059485901115383474,-0.05775118184505168,2011,0.0926002410116582,2010-12-31
2011-12-31,1.014095902442932,0.0121958240752276,4.3,0.01,4.51,0.02,0.0037583333333333336,1.6666666666666667e-05,4.49,1,Long AUD / Short USD,0.003734621916675006,0.0121958240752276,0.003734621916675006,0.015930445991902607,0.016058012041118452,2011,0.045995793261057294,2011-01-31
2012-01-31,1.05860435962677,0.042953919685142,4.25,0.04,4.3,0.01,0.003583333333333333,8.333333333333334e-06,4.29,1,Long AUD / Short USD,0.0035685951917312202,0.042953919685142,0.0035685951917312202,0.04652251487687322,0.047621665875822616,2012,0.12296247157250129,2011-02-28
2012-02-29,1.0799602270126345,0.0199728148898796,4.25,0.08,4.25,0.04,0.003541666666666667,3.3333333333333335e-05,4.21,1,Long AUD / Short USD,0.0035020769564483704,0.0199728148898796,0.0035020769564483704,0.02347489184632797,0.023752595886430194,2012,0.11461358793832255,2011-03-31
2012-03-31,1.0374951362609863,-0.0401149284473402,4.25,0.05,4.25,0.08,0.003541666666666667,6.666666666666667e-05,4.17,1,Long AUD / Short USD,0.0034687452896952887,-0.0401149284473402,0.0034687452896952887,-0.03664618315764491,-0.03598283947701697,2012,0.052316629925225344,2011-04-30
2012-04-30,1.0456314086914062,0.0078116366230061,4.25,0.07,4.25,0.05,0.003541666666666667,4.1666666666666665e-05,4.2,1,Long AUD / Short USD,0.0034937439356032707,0.0078116366230061,0.0034937439356032707,0.01130538055860937,0.011369527882116426,2012,5.9325334997417656e-05,2011-05-31
2012-05-31,0.9704968333244324,-0.074568061103975,3.77,0.03,4.25,0.07,0.003541666666666667,5.833333333333334e-05,4.18,1,Long AUD / Short USD,0.003477078102227887,-0.074568061103975,0.003477078102227887,-0.07109098300174711,-0.06862285121620637,2012,-0.051764234979537194,2011-06-30
2012-06-30,1.0033713579177856,0.033312826941942,3.54,0.04,3.77,0.03,0.0031416666666666663,2.4999999999999998e-05,3.74,1,Long AUD / Short USD,0.003111742256301777,0.033312826941942,0.003111742256301777,0.03642456919824378,0.03709607207902277,2012,-0.0194895198934113,2011-07-31
2012-07-31,1.0498688220977783,0.0452995373979303,3.5,0.07,3.54,0.04,0.00295,3.3333333333333335e-05,3.5,1,Long AUD / Short USD,0.0029123245107794066,0.0452995373979303,0.0029123245107794066,0.048211861908709706,0.049392958169990786,2012,-0.0037429132325023096,2011-08-31
2012-08-31,1.0280978679656982,-0.0209548602266287,3.5,0.09,3.5,0.07,0.002916666666666667,5.833333333333334e-05,3.43,1,Long AUD / Short USD,0.0028540898150243564,-0.0209548602266287,0.0028540898150243564,-0.018100770411604343,-0.01793793542659583,2012,0.0042386371060640915,2011-09-30
2012-09-30,1.0437650680541992,0.0151240687350517,3.5,0.06,3.5,0.09,0.002916666666666667,7.5e-05,3.41,1,Long AUD / Short USD,0.0028374242593943457,0.0151240687350517,0.0028374242593943457,0.017961492994446045,0.018123770737258127,2012,0.11346492650993367,2011-10-31
2012-10-31,1.0366023778915403,-0.0068860128334266,3.27,0.09,3.5,0.06,0.002916666666666667,4.9999999999999996e-05,3.44,1,Long AUD / Short USD,0.002862422696993298,-0.0068860128334266,0.002862422696993298,-0.004023590136433302,-0.004015506343231445,2012,0.010538876391329444,2011-11-30
2012-11-30,1.0429377555847168,0.0060930752828966,3.25,0.11,3.27,0.09,0.002725,7.5e-05,3.18,1,Long AUD / Short USD,0.0026462967310470977,0.0060930752828966,0.0026462967310470977,0.008739372013943697,0.008777671816313282,2012,0.08188944933044384,2011-12-31
2012-12-31,1.039198637008667,-0.0035916211914091,3.03,0.02,3.25,0.11,0.0027083333333333334,9.166666666666667e-05,3.14,1,Long AUD / Short USD,0.002613009941592559,-0.0035916211914091,0.002613009941592559,-0.000978611249816541,-0.0009781325659885542,2012,0.06374951549864338,2012-01-31
2013-01-31,1.0418837070465088,0.0025804567853334,3.0,0.04,3.03,0.02,0.002525,1.6666666666666667e-05,3.01,1,Long AUD / Short USD,0.0025051510157300567,0.0025804567853334,0.0025051510157300567,0.005085607801063457,0.005098561454173645,2013,0.020571779490089703,2012-02-29
2013-02-28,1.0232272148132324,-0.0180687629069127,3.0,0.07,3.0,0.04,0.0025,3.3333333333333335e-05,2.96,1,Long AUD / Short USD,0.002463547420797076,-0.0180687629069127,0.002463547420797076,-0.015605215486115624,-0.015484085018484084,2013,-0.01854299239260393,2012-03-31
2013-03-31,1.0418294668197632,0.0180167017811895,3.0,0.04,3.0,0.07,0.0025,5.833333333333334e-05,2.93,1,Long AUD / Short USD,0.0024385485665765925,0.0180167017811895,0.0024385485665765925,0.020455250347766095,0.02066589277747166,2013,0.03913056106683932,2012-04-30
2013-04-30,1.0344042778015137,-0.0071525864495753,3.0,0.03,3.0,0.04,0.0025,3.3333333333333335e-05,2.96,1,Long AUD / Short USD,0.002463547420797076,-0.0071525864495753,0.002463547420797076,-0.004689039028778224,-0.004678062648198922,2013,0.022642481001329262,2012-05-31
2013-05-31,0.9669309854507446,-0.0674538398327566,2.8,0.03,3.0,0.03,0.0025,2.4999999999999998e-05,2.97,1,Long AUD / Short USD,0.002471880511081991,-0.0674538398327566,0.002471880511081991,-0.06498195932167461,-0.06291563113742782,2013,0.02890894964789603,2012-06-30
2013-06-30,0.9281604290008544,-0.0409225292319524,2.75,0.02,2.8,0.03,0.002333333333333333,2.4999999999999998e-05,2.77,1,Long AUD / Short USD,0.0023056156507771162,-0.0409225292319524,0.0023056156507771162,-0.038616913581175284,-0.03788078663869088,2013,-0.045476021067973105,2012-07-31
2013-07-31,0.9072763323783876,-0.0227575238607628,2.75,0.03,2.75,0.02,0.0022916666666666667,1.6666666666666667e-05,2.73,1,Long AUD / Short USD,0.002272378275692087,-0.0227575238607628,0.002272378275692087,-0.020485145585070714,-0.02027675041790622,2013,-0.10884733200980046,2012-08-31
2013-08-31,0.8926180005073547,-0.0162883516946128,2.55,0.02,2.75,0.03,0.0022916666666666667,2.4999999999999998e-05,2.72,1,Long AUD / Short USD,0.0022640451159662,-0.0162883516946128,0.0022640451159662,-0.014024306578646601,-0.013926424103355317,2013,-0.10520716592729162,2012-09-30
2013-09-30,0.930146098136902,0.0411829502120879,2.5,0.03,2.55,0.02,0.0021249999999999997,1.6666666666666667e-05,2.53,1,Long AUD / Short USD,0.0021060788531993206,0.0411829502120879,0.0021060788531993206,0.04328902906528722,0.04423966685291836,2013,-0.08225483206442696,2012-10-31
2013-10-31,0.9470324516296388,0.0179916918432053,2.5,0.03,2.5,0.03,0.0020833333333333333,2.4999999999999998e-05,2.47,1,Long AUD / Short USD,0.002056166516319359,0.0179916918432053,0.002056166516319359,0.020047858359524662,0.0202501663576391,2013,-0.059895343528449496,2012-11-30
2013-11-30,0.9084302186965942,-0.0416152848968721,2.5,0.05,2.5,0.03,0.0020833333333333333,2.4999999999999998e-05,2.47,1,Long AUD / Short USD,0.002056166516319359,-0.0416152848968721,0.002056166516319359,-0.03955911838055274,-0.038786873052577775,2013,-0.10422190959298516,2012-12-31
2013-12-31,0.8919811248779297,-0.0182731036210332,2.5,0.01,2.5,0.05,0.0020833333333333333,4.1666666666666665e-05,2.45,1,Long AUD / Short USD,0.0020395004051893444,-0.0182731036210332,0.0020395004051893444,-0.016233603215843856,-0.016102548401428884,2013,-0.11778329476105054,2013-01-31
2014-01-31,0.8795848488807678,-0.0139949383836143,2.5,0.03,2.5,0.01,0.0020833333333333333,8.333333333333334e-06,2.49,1,Long AUD / Short USD,0.002072832905213263,-0.0139949383836143,0.002072832905213263,-0.011922105478401036,-0.011851318767022279,2014,-0.13266090781951867,2013-02-28
2014-02-28,0.8961697816848755,0.0186798499900808,2.5,0.04,2.5,0.03,0.0020833333333333333,2.4999999999999998e-05,2.47,1,Long AUD / Short USD,0.002056166516319359,0.0186798499900808,0.002056166516319359,0.02073601650640016,0.020952501452561334,2014,-0.100560994195933,2013-03-31
2014-03-31,0.9260116219520568,0.0327569017597462,2.5,0.03,2.5,0.04,0.0020833333333333333,3.3333333333333335e-05,2.46,1,Long AUD / Short USD,0.002047833426034444,0.0327569017597462,0.002047833426034444,0.034804735185780644,0.0354175084515318,2014,-0.08756146258645137,2013-04-30
2014-04-30,0.9274716973304749,0.0015754937368385,2.5,0.02,2.5,0.03,0.0020833333333333333,2.4999999999999998e-05,2.47,1,Long AUD / Short USD,0.002056166516319359,0.0015754937368385,0.002056166516319359,0.0036316602531578594,0.00363826272147616,2014,-0.079937662213729,2013-05-31
2014-05-31,0.931098699569702,0.0039030072249005,2.5,0.05,2.5,0.02,0.0020833333333333333,1.6666666666666667e-05,2.48,1,Long AUD / Short USD,0.0020644996760452463,0.0039030072249005,0.0020644996760452463,0.005967506900945746,0.005985347941440899,2014,-0.012288261590375105,2013-06-30
2014-06-30,0.9417082667350768,0.0113302447671281,2.5,0.02,2.5,0.05,0.0020833333333333333,4.1666666666666665e-05,2.45,1,Long AUD / Short USD,0.0020395004051893444,0.0113302447671281,0.0020395004051893444,0.013369745172317444,0.01345951985737126,2014,0.040417705274736315,2013-07-31
2014-07-31,0.9325748682022096,-0.0097460950890495,2.5,0.01,2.5,0.02,0.0020833333333333333,1.6666666666666667e-05,2.48,1,Long AUD / Short USD,0.0020644996760452463,-0.0097460950890495,0.0020644996760452463,-0.0076815954130042535,-0.00765216735863905,2014,0.05382438899095532,2013-08-31
