Sample,Start date,End date,N months,Total return,Annualised return,Annualised volatility,Sharpe ratio,Maximum drawdown,Hit rate
In-sample,2009-03,2019-12,130,0.7504618918878905,0.053039982247577555,0.11917605826926561,0.4450556849911864,-0.2853785461582543,0.5692307692307692
Out-of-sample,2020-01,2023-12,48,0.5058084935325571,0.10775172658842247,0.11123081007471547,0.9687219441811487,-0.13568267704671777,0.5625
