year,strategy_return
2009,0.4308515393378982
2010,0.1647306660103831
2011,0.031444528679753336
2012,0.055386369736717844
2013,-0.12314750865635804
2014,-0.06412820979294132
2015,-0.09584948925224546
2016,0.0017541269664762549
2017,0.08050421036681477
2018,0.19559203087819488
2019,0.013056128676651513
