Checkpoint,Date,Wealth index,Portfolio value,Profit / loss,Cumulative return
End-2021,2021-12-31,130.0474603611663,1300.4746036116628,300.4746036116628,0.3004746036116628
End-2023,2023-12-31,150.5808493532557,1505.8084935325571,505.8084935325571,0.5058084935325571
