Date,spot,fx_return,rate_au,rate_us,infl_au,infl_us,actual_fx_change,uip_implied_change,ppp_implied_change,uip_deviation,ppp_deviation
2009-02-28,0.6422194838523865,0.0058271541697004,3.35,0.16,0.0003634758718007,0.004960608845776,0.0058271541697004,-0.0026583333333333333,0.0045971329739753,-0.008485487503033733,-0.0012300211957250997
2009-03-31,0.6918021440505981,0.0743698753095677,3.25,0.17,0.000363343805092,0.002428796539716,0.0743698753095677,-0.0025666666666666667,0.0020654527346240003,-0.07693654197623437,-0.07230442257494371
2009-04-30,0.7266914248466492,0.0492019416914966,3.06,0.04,0.001659321096306,0.0024932575264768,0.0492019416914966,-0.0025166666666666666,0.0008339364301708002,-0.05171860835816327,-0.0483680052613258
2009-05-31,0.8010253310203552,0.0973906333889513,3.0,0.14,0.0016565723102939,0.0028845993740995,0.0973906333889513,-0.0023833333333333332,0.0012280270638056,-0.09977396672228464,-0.0961626063251457
2009-06-30,0.8061915636062622,0.0064288154217268,3.0,0.17,0.0016538326163502,0.0085532090595616,0.0064288154217268,-0.0023583333333333334,0.0068993764432113995,-0.008787148755060134,0.00047056102148459924
2009-07-31,0.8356313109397888,0.0358661139512609,3.0,0.14,0.0031450620134236,-0.0015868452954466,0.0358661139512609,-0.0023833333333333332,-0.0047319073088702,-0.038249447284594236,-0.0405980212601311
2009-08-31,0.8428860306739807,0.0086442537457137,3.0,0.11,0.0031352016018582,0.0022403386111271,0.0086442537457137,-0.0024083333333333335,-0.0008948629907310998,-0.011052587079047034,-0.0095391167364448
2009-09-30,0.8837825655937195,0.0473793119278128,3.0,0.06,0.0031254028259111,0.000625285161977,0.0473793119278128,-0.00245,-0.0025001176639341,-0.0498293119278128,-0.0498794295917469
2009-10-31,0.9009820818901062,0.0192743046361938,3.21,0.01,0.0017888635267908,0.0009626377014351,0.0192743046361938,-0.0026666666666666666,-0.0008262258253556999,-0.02194097130286047,-0.020100530461549502
2009-11-30,0.9175995588302612,0.0182757145323257,3.48,0.08,0.0017856692074245,0.0007075030294636,0.0182757145323257,-0.0028333333333333335,-0.0010781661779609001,-0.021109047865659033,-0.0193538807102866
2009-12-31,0.898311197757721,-0.0212445313720617,3.74,0.04,0.0017824862757258,-0.0017627509023405,-0.0212445313720617,-0.0030833333333333338,-0.0035452371780663,0.018161198038728368,0.0176992941939954
2010-01-31,0.8843296766281128,-0.0156866231805242,3.75,0.02,0.0030990448253982,0.0034116472777077,-0.0156866231805242,-0.003108333333333333,0.0003126024523095001,0.012578289847190867,0.0159992256328337
2010-02-28,0.8958967924118042,0.0129952888240879,3.75,0.09,0.0030894704104698,0.0002491763350747,0.0129952888240879,-0.00305,-0.0028402940753951,-0.0160452888240879,-0.015835582899483
2010-03-31,0.9155831933021544,0.0217360126708365,3.98,0.15,0.0030799549731703,0.0040978757629392,0.0217360126708365,-0.003191666666666667,0.0010179207897688994,-0.024927679337503166,-0.020718091881067602
2010-04-30,0.9248127341270448,0.0100300354535227,4.22,0.14,0.0020145051131859,0.0017353782704221,0.0100300354535227,-0.0034000000000000002,-0.00027912684276380014,-0.0134300354535227,-0.0103091622962865
2010-05-31,0.8465966582298279,-0.0883668866287772,4.47,0.15,0.0020104550398629,0.0007748970439589,-0.0883668866287772,-0.0035999999999999995,-0.0012355579959039999,0.0847668866287772,0.0871313286328732
2010-06-30,0.8413259983062744,-0.0062451641770305,4.5,0.17,0.0020064212188541,-0.0009767439437711,-0.0062451641770305,-0.003608333333333333,-0.0029831651626252,0.0026368308436971665,0.0032619990144052997
2010-07-31,0.9044044613838196,0.0722974567494589,4.5,0.14,0.0024024035578662,0.0002110207909185,0.0722974567494589,-0.0036333333333333335,-0.0021913827669476998,-0.07593079008279223,-0.0744888395164066
2010-08-31,0.8918219804763794,-0.014010134162404,4.5,0.16,0.0023966458446,0.0013797120378651,-0.014010134162404,-0.003616666666666667,-0.0010169338067349,0.010393467495737333,0.0129932003556691
2010-09-30,0.9693679809570312,0.0833777539067545,4.5,0.14,0.0023909156637724,0.0005815670877895,0.0833777539067545,-0.0036333333333333335,-0.0018093485759829,-0.08701108724008784,-0.0851871024827374
2010-10-31,0.972762644290924,0.0034958171678758,4.5,0.14,0.0012926964461117,0.0012444242713094,0.0034958171678758,-0.0036333333333333335,-4.827217480230005e-05,-0.007129150501209134,-0.0035440893426781
2010-11-30,0.9607070684432985,-0.012470567294753,4.73,0.18,0.0012910275391675,0.0004205579769145,-0.012470567294753,-0.003791666666666667,-0.000870469562253,0.008678900628086333,0.0116000977325
2010-12-31,1.0157749652862549,0.0557375697602381,4.75,0.07,0.0012893629358785,0.0017169659591935,0.0557375697602381,-0.0038999999999999994,0.00042760302331500003,-0.0596375697602381,-0.0553099667369231
2011-01-31,0.9873617887496948,-0.0283705865256656,4.75,0.15,0.0051408912036174,0.0047519217687925,-0.0283705865256656,-0.003833333333333333,-0.00038896943482489947,0.024537253192332267,0.027981617090840703
2011-02-28,1.01449716091156,0.0271118345318562,4.75,0.13,0.0051145975564157,0.0049192456719175,0.0271118345318562,-0.0038499999999999997,-0.00019535188449820023,-0.0309618345318562,-0.0273071864163544
2011-03-31,1.0319172143936155,0.0170253634610764,4.75,0.05,0.0050885715045874,0.0097038371399591,0.0170253634610764,-0.003916666666666666,0.0046152656353717,-0.020942030127743066,-0.012410097825704701
2011-04-30,1.093900442123413,0.0583312510843689,4.75,0.02,0.0030699534380635,0.0064187849877637,0.0583312510843689,-0.003941666666666667,0.0033488315497002003,-0.06227291775103557,-0.0549824195346687
2011-05-31,1.070297122001648,-0.0218134022748109,4.75,0.04,0.0030605576611923,0.004693157415371,-0.0218134022748109,-0.0039250000000000005,0.0016325997541786997,0.017888402274810897,0.0234460020289896
2011-06-30,1.0692671537399292,-0.0009627832666281,4.75,0.01,0.0030512192215601,-0.0010715409517016,-0.0009627832666281,-0.00395,-0.0041227601732617,-0.0029872167333719005,-0.0031599769066336
2011-07-31,1.100001096725464,0.0283376660531981,4.75,0.16,0.0019807248196581,0.0008856533600489,0.0283376660531981,-0.003825,-0.0010950714596092,-0.0321626660531981,-0.0294327375128073
2011-08-31,1.0676004886627195,-0.0298975805580554,4.75,0.01,0.0019768093031293,0.0027537937295036,-0.0298975805580554,-0.00395,0.0007769844263743001,0.0259475805580554,0.0306745649844297
2011-09-30,0.9764671921730042,-0.0892277228638039,4.75,0.02,0.0019729092365299,0.0015173104178218,-0.0892277228638039,-0.003941666666666667,-0.0004555988187081,0.08528605619713724,0.0887721240450958
