Date,cpi_au,cpi_us,infl_au,infl_us,infl_diff
2009-01-31,64.18333333333334,211.143,0.00036360803454904556,0.004342973000905914,-0.003979364966356869
2009-02-28,64.20666666666666,212.193,0.0003634758718007447,0.004960608845776093,-0.004597132973975349
2009-03-31,64.23,212.709,0.00036334380509206454,0.0024287965397160605,-0.002065452734623996
2009-04-30,64.33666666666667,213.24,0.0016593210963060656,0.0024932575264768886,-0.000833936430170823
2009-05-31,64.44333333333333,213.856,0.0016565723102939245,0.0028845993740995723,-0.0012280270638056479
2009-06-30,64.55,215.693,0.0016538326163502148,0.008553209059561695,-0.00689937644321148
2009-07-31,64.75333333333333,215.351,0.003145062013423683,-0.001586845295446615,0.004731907308870298
2009-08-31,64.95666666666666,215.834,0.0031352016018582063,0.0022403386111271573,0.000894862990731049
2009-09-30,65.16,215.969,0.0031254028259111166,0.0006252851619770183,0.0025001176639340983
2009-10-31,65.27666666666667,216.177,0.0017888635267908626,0.0009626377014351206,0.000826225825355742
2009-11-30,65.39333333333333,216.33,0.0017856692074245117,0.000707503029463652,0.0010781661779608598
2009-12-31,65.51,215.949,0.0017824862757258586,-0.0017627509023405707,0.0035452371780664294
2010-01-31,65.71333333333334,216.687,0.003099044825398245,0.003411647277707708,-0.0003126024523094628
2010-02-28,65.91666666666667,216.741,0.003089470410469808,0.0002491763350747078,0.0028402940753951
2010-03-31,66.12,217.631,0.0030799549731703735,0.004097875762939296,-0.0010179207897689224
2010-04-30,66.25333333333333,218.009,0.002014505113185905,0.0017353782704221388,0.0002791268427637661
2010-05-31,66.38666666666667,218.178,0.0020104550398629684,0.0007748970439589442,0.0012355579959040242
2010-06-30,66.52,217.965,0.002006421218854193,-0.000976743943771119,0.002983165162625312
2010-07-31,66.67999999999999,218.011,0.0024024035578662506,0.00021102079091850356,0.002191382766947747
2010-08-31,66.84,218.312,0.002396645844600087,0.0013797120378651329,0.0010169338067349543
2010-09-30,67.0,218.439,0.002390915663772475,0.0005815670877895585,0.0018093485759829164
2010-10-31,67.08666666666667,218.711,0.0012926964461117407,0.0012444242713094411,4.827217480229962e-05
2010-11-30,67.17333333333333,218.803,0.001291027539167544,0.00042055797691453733,0.0008704695622530068
2010-12-31,67.26,219.179,0.0012893629358785574,0.0017169659591935726,-0.0004276030233150152
2011-01-31,67.60666666666667,220.223,0.0051408912036174925,0.0047519217687925774,0.0003889694348249151
2011-02-28,67.95333333333333,221.309,0.005114597556415745,0.004919245671917594,0.00019535188449815166
2011-03-31,68.3,223.467,0.005088571504587414,0.009703837139959148,-0.004615265635371735
2011-04-30,68.51,224.906,0.0030699534380635995,0.006418784987763715,-0.0033488315497001153
2011-05-31,68.72,225.964,0.003060557661192398,0.004693157415371019,-0.0016325997541786208
2011-06-30,68.93,225.722,0.003051219221560153,-0.0010715409517016994,0.004122760173261852
2011-07-31,69.06666666666668,225.922,0.001980724819658164,0.0008856533600489769,0.001095071459609187
2011-08-31,69.20333333333333,226.545,0.0019768093031293787,0.002753793729503684,-0.0007769844263743053
2011-09-30,69.34,226.889,0.0019729092365299294,0.0015173104178218821,0.0004555988187080473
2011-10-31,69.34,226.421,0.0,-0.002064812893051382,0.002064812893051382
2011-11-30,69.34,226.23,0.0,-0.0008439173285195167,0.0008439173285195167
2011-12-31,69.34,225.672,0.0,-0.0024695632397797596,0.0024695632397797596
2012-01-31,69.35333333333334,226.665,0.00019227071776128923,0.004390538890947759,-0.00419826817318647
2012-02-29,69.36666666666666,227.663,0.00019223375683985466,0.004393308821876829,-0.004201075065036974
2012-03-31,69.38,229.392,0.00019219681012483392,0.007565865148201567,-0.007373668338076733
2012-04-30,69.5,230.085,0.0017281110291422763,0.003016475364270299,-0.0012883643351280227
2012-05-31,69.61999999999999,229.815,0.0017251298125469106,-0.0011741684323558488,0.0028992982449027593
2012-06-30,69.74,229.478,0.001722158864212453,-0.0014674730965928973,0.0031896319608053503
2012-07-31,70.05666666666666,229.104,0.004530397123705399,-0.0016311154075827616,0.00616151253128816
2012-08-31,70.37333333333333,230.379,0.004509965155747864,0.00554972990271807,-0.0010397647469702065
2012-09-30,70.69,231.407,0.004489716655903919,0.004452286115894211,3.743054000970858e-05
2012-10-31,70.75,231.317,0.0008484163404842704,-0.0003890007915519078,0.0012374171320361782
2012-11-30,70.81,230.221,0.0008476971403359457,-0.004749347009957994,0.005597044150293939
2012-12-31,70.87,229.601,0.0008469791584815312,-0.0026966973121291815,0.0035436764706107127
2013-01-31,70.95,230.28,0.0011281907838869287,0.0029529399709851134,-0.0018247491870981847
2013-02-28,71.03,232.166,0.0011269194036671593,0.008156673239660073,-0.0070297538359929135
2013-03-31,71.11,232.773,0.0011256508857080405,0.002611096702441529,-0.0014854458167334883
2013-04-30,71.2,232.531,0.0012648445225034166,-0.0010401802770649837,0.0023050247995684003
2013-05-31,71.28999999999999,232.945,0.0012632467116073798,0.0017788247263679224,-0.0005155780147605427
2013-06-30,71.38,233.504,0.001261652932476487,0.002396833384196384,-0.0011351804517198971
2013-07-31,71.67,233.596,0.004054531943814332,0.00039391993658544067,0.0036606120072288917
2013-08-31,71.96,233.877,0.0040381590765043995,0.0012022086145906385,0.002835950461913761
2013-09-30,72.25,234.149,0.004021917910209005,0.0011623287194426624,0.002859589190766343
2013-10-31,72.42333333333333,233.546,0.0023962040864988765,-0.002578605005922441,0.004974809092421317
2013-11-30,72.59666666666666,233.069,0.002390476015367682,-0.002044512783156982,0.004434988798524664
2013-12-31,72.77,233.049,0.0023847752645869136,-8.581517989991738e-05,0.002470590444486831
2014-01-31,72.91333333333333,233.916,0.00196773887997459,0.003713344667159113,-0.0017456057871845232
2014-02-28,73.05666666666667,234.781,0.0019638744865480007,0.0036910881958815978,-0.001727213709333597
2014-03-31,73.2,236.293,0.001960025241748653,0.006419395646056536,-0.004459370404307883
2014-04-30,73.32333333333334,237.072,0.0016834637822560339,0.0032913320724325956,-0.0016078682901765617
2014-05-31,73.44666666666666,237.9,0.0016806344942867923,0.0034865248425326456,-0.0018058903482458533
2014-06-30,73.57,238.343,0.0016778147003639887,0.0018603953350337932,-0.00018258063466980445
2014-07-31,73.67333333333333,238.25,0.0014035725483534378,-0.0003902701096336614,0.0017938426579870992
