Date,actual_fx_change,ppp_implied_change,ppp_deviation
2009-03-31,0.0743698753095677,0.002065452734624,-0.0723044225749437
2009-05-31,0.0973906333889513,0.0012280270638056,-0.0961626063251457
2010-05-31,-0.0883668866287772,-0.0012355579959039,0.0871313286328732
2010-07-31,0.0722974567494589,-0.0021913827669476,-0.0744888395164066
2010-09-30,0.0833777539067545,-0.0018093485759829,-0.0851871024827374
2011-09-30,-0.0892277228638039,-0.0004555988187081,0.0887721240450958
2011-10-31,0.0890355358944381,-0.0020648128930513,-0.0911003487874894
2012-05-31,-0.074568061103975,-0.0028992982449027,0.0716687628590723
2013-05-31,-0.0674538398327566,0.0005155780147606,0.0679694178475172
2014-09-30,-0.0706941061872305,-0.0006473577588073,0.0700467484284232
