metric,value
Mean actual FX change,0.0003734657641481415
Mean UIP-implied change,-0.0012060521415270017
Mean PPP-implied change,-7.647630344062357e-05
Std actual FX change,0.03369813647349578
Std UIP-implied change,0.0015956254065303398
Std PPP-implied change,0.003350022373953396
Std UIP deviation,0.03385245006599252
Std PPP deviation,0.03372959497988006
