Series,Mean,Standard deviation,Minimum,Maximum
Actual change in S(USD/AUD),0.0003734657641481415,0.03369813647349578,-0.0892277228638039,0.0973906333889513
UIP-implied change,-0.0012060521415269878,0.0015956254065303123,-0.00395,0.0012333333333333
PPP-implied change,-7.647630344062517e-05,0.003350022373953383,-0.0091471482825226,0.0119816195681376
UIP deviation,-0.0015795179056751437,0.03385245006599249,-0.0997739667222846,0.0852860561971372
PPP deviation,-0.0004499420675887684,0.033729594979880054,-0.0961626063251457,0.0887721240450958
