Model,Regression specification,Theoretical restrictions,Null hypothesis,Alternative hypothesis
UIP,"Δs_t = α + β(iUS,t − iAUS,t) + εt","α = 0, β = 1",H0: α = 0 and β = 1,H1: α ≠ 0 and/or β ≠ 1
PPP,"Δs_t = α + β(πUS,t − πAUS,t) + εt","α = 0, β = 1",H0: α = 0 and β = 1,H1: α ≠ 0 and/or β ≠ 1
