Term,Variable,Coefficient,Std. error,t-stat,p-value,CI low,CI high
α,Constant,-0.0031,0.0047,-0.6524,0.5153,-0.0124,0.0063
β,UIP-implied change,-2.1192,2.0529,-1.0323,0.3039,-6.1809,1.9424
