model,alpha,alpha_p_value,beta,beta_p_value,r_squared,n_obs
UIP,-0.0030820031609390445,0.5153328541214104,-2.1192390231344076,0.3038530234637903,0.008193458287156452,131
PPP,0.0008759650870004971,0.7704699444546206,0.6934034498024307,0.49376470974079656,0.003637787376569168,131
