model,alpha,alpha_pvalue,beta,beta_pvalue,r_squared
UIP,-0.0030820031609390557,0.5153328541214076,2.119239023134388,0.30385302346378557,0.008193458287156674
PPP,0.0008759650870005126,0.7704699444546166,-0.6934034498024492,0.4937647097407831,0.0036377873765696123
