Term,Variable,Coefficient,Std. error,t-stat,p-value,CI low,CI high
α,Constant,0.0009,0.003,0.2924,0.7705,-0.0051,0.0068
β,PPP-implied change,0.6934,1.0104,0.6863,0.4938,-1.3056,2.6924
