Model,Equation,α,p(α),β,p(β=0),95% CI β,p(β=1),Joint p,R²,N
UIP,"Δs_t = α + β(i_US,t - i_AUS,t) + ε_t",-0.0031,0.5153,-2.1192,0.3039,"[-6.18, 1.94]",0.1311,0.2262,0.0082,131
PPP,"Δs_t = α + β(π_US,t - π_AUS,t) + ε_t",0.0009,0.7705,0.6934,0.4938,"[-1.31, 2.69]",0.762,0.9077,0.0036,131
